Name,Number_of_Ratings,Rating,Longitude,Latitude,Category
صيدلية وايتس,55.0,3.6,46.7554869,24.7668824,pharmacies
Smart Apple pharmacy,12.0,4.3,46.7459458,24.8229249,pharmacies
صيدلية الوراثة العربية للأدوية,10.0,5.0,46.85035389999999,24.8600726,pharmacies
صيدلية زاوية العاصمة بالمنفوحة,11.0,4.5,46.7179657,24.6188551,pharmacies
صيدلية الوطن,15.0,3.6,46.78679169999999,24.6913948,pharmacies
صيدلية وايتس,203.0,4.2,46.6471692,24.7314833,pharmacies
صيدلية ترياق العلاج,8.0,4.9,46.6163496,24.5989838,pharmacies
صيدلية ليمون,19.0,3.5,46.6206956,24.8101894,pharmacies
صيدلية النهدي,62.0,3.9,46.685643,24.817407,pharmacies
صيدلية النهدي,132.0,3.9,46.6266188,24.5902835,pharmacies
صيدلية النهدي,11.0,4.5,46.77670699999999,24.591567,pharmacies
صيدلية داما السعودية,61.0,3.5,46.68072979999999,24.675477,pharmacies
صيدلية سيف,27.0,3.5,46.71940439999999,24.7798338,pharmacies
صيدلية الدواء,34.0,3.2,46.8164375,24.7694375,pharmacies
Nadheem Pharmacy,67.0,3.7,46.8795425,24.8147542,pharmacies
صيدليه عنايه السمو,16.0,3.8,46.6414638,24.8672895,pharmacies
صيدلية انوفا,8.0,3.1,46.6577645,24.5200629,pharmacies
صيدلية بلسم ليليا,10.0,4.6,46.8044005,24.8443496,pharmacies
صيدلية انوفا,22.0,3.8,46.7811015,24.8285258,pharmacies
صيدلية عناية السمو,6.0,3.7,46.619417,24.9109253,pharmacies
صيدلية بيت الادوية,7.0,3.9,46.7743259,24.5936176,pharmacies
صيدلية,15.0,4.1,46.7646717,24.556404,pharmacies
Sama pharmacy,5.0,5.0,46.59010199999999,24.8301818,pharmacies
صيدلية انوفا,27.0,3.4,46.7627239,24.7626036,pharmacies
صيدلية الشافي,60.0,4.3,46.7068916,24.6638442,pharmacies
صيدلية شمس,20.0,4.4,46.8518817,24.6065752,pharmacies
صيدلية الجازع,14.0,4.2,46.8476922,24.7142784,pharmacies
صيدلية عزيز,27.0,3.7,46.8197705,24.765821,pharmacies
Amoon Pharmacy,17.0,4.1,46.7117191,24.670943,pharmacies
صيدلية الجازع,173.0,4.4,46.7177669,24.7819103,pharmacies
صيدلية الدواء,141.0,3.8,46.6198539,24.8095769,pharmacies
صيدلية ليمون,30.0,4.2,46.786155,24.5721551,pharmacies
صيدلية زهرة الروضة,27.0,3.9,46.8210833,24.6844167,pharmacies
صيدلية النهدي,46.0,4.1,46.657632,24.786328,pharmacies
صيدلية النهدي,7.0,3.9,46.75933,24.7395427,pharmacies
صيدلية امون,12.0,4.1,46.8712739,24.5638486,pharmacies
صيدلية الدواء,62.0,3.6,46.6171746,24.7686239,pharmacies
صيدلية كنوز,109.0,4.5,46.5828638,24.5948366,pharmacies
صيدلية الدواء,138.0,4.0,46.766775,24.583651,pharmacies
صيدلية دلتا (),34.0,4.1,46.6805619,24.8517304,pharmacies
صيدلية نجم العناية للادوية,9.0,3.0,46.819138,24.9230876,pharmacies
Nivea Company Store,6.0,3.7,46.854585,24.6280183,pharmacies
صيدلية الدواء,113.0,3.8,46.788471,24.575966,pharmacies
صيدلية آدم,35.0,4.0,46.6466082,24.5739944,pharmacies
Plan pharmacy صيدلية بلان الطبية,11.0,3.3,46.8167514,24.7265338,pharmacies
صيدلية نمط الصحة,18.0,3.8,46.6263832,24.87281,pharmacies
Middleast Veterinary Pharmacy,75.0,3.9,46.8482554,24.8629837,pharmacies
صيدلية تاج الدواء,11.0,3.7,46.74115130000001,24.6098441,pharmacies
صيدلية الديار الدوئيه,7.0,3.9,46.7118964,24.6055687,pharmacies
صيدلية ليمون,73.0,3.9,46.769954,24.5719604,pharmacies
صيدلية الدواء,66.0,4.2,46.8183644,24.850576,pharmacies
صيدلية الدواء,76.0,3.6,46.5935421,24.8250056,pharmacies
صيدلية صحة زينة المتطورة,37.0,4.6,46.739928,24.6224148,pharmacies
صيدلية ليمون,5.0,1.8,46.6928059,24.7394583,pharmacies
صيدلية وايتس,107.0,4.3,46.7130873,24.7580127,pharmacies
Malaze pharmacy,10.0,4.4,46.6140243,24.8767495,pharmacies
صيدلية ليمون,35.0,1.6,46.643328,24.798659,pharmacies
صيدلية الدواء,74.0,3.5,46.65227240000001,24.5736132,pharmacies
صيدلية الدواء,78.0,3.8,46.761373,24.778441,pharmacies
صيدلية زهرة الروضة,32.0,3.1,46.615369,24.5709222,pharmacies
صيدلية زهره الروز,22.0,4.7,46.7463837,24.8075453,pharmacies
صيدلية سارية الدواء الثانيه,21.0,3.8,46.6508938,24.5385585,pharmacies
صيدلية ليمون,67.0,3.6,46.78206249999999,24.5793125,pharmacies
صيدلية آدم,23.0,4.2,46.6873244,24.5679843,pharmacies
صيدلية زيما,32.0,4.5,46.68430439999999,24.5641856,pharmacies
صيدلية كنوز,5.0,3.8,46.6363044,24.7286164,pharmacies
AlAnaya AlDawaeya Pharmacy  | صيدلية العناية الدوائيةاحدي فروع صيدليات زهرة الروضة,32.0,4.0,46.6401908,24.6871981,pharmacies
صيدلية الدواء,41.0,3.9,46.6278253,24.7820318,pharmacies
صيدلية الدواء,138.0,4.1,46.7134928,24.5452206,pharmacies
صيدلية الجازع,19.0,4.5,46.6821029,24.7645324,pharmacies
صيدلية النهدي,73.0,3.6,46.7599117,24.8172105,pharmacies
صيدلية النهدي,83.0,3.6,46.5853696,24.6876835,pharmacies
صيدلية آدم,48.0,4.1,46.6965739,24.7120523,pharmacies
صيدلية وقاية,26.0,4.2,46.7604149,24.7249368,pharmacies
صيدلية زهرة الروضة,12.0,3.2,46.8168333,24.7597778,pharmacies
Rasimah Pharmacy,36.0,4.4,46.7440665,24.6555896,pharmacies
صيدلية انوفا,44.0,4.3,46.6616613,24.7784997,pharmacies
ZAHRA AL SHARQ PHARMACY,30.0,4.2,46.7015228,24.709252,pharmacies
صيدلية النهدي,74.0,4.0,46.7309264,24.8383019,pharmacies
صيدلية كنوز,84.0,4.0,46.7663862,24.8117068,pharmacies
صيدلية زهرة الروضة,6.0,2.8,46.7578547,24.6039038,pharmacies
صيدلية انوفا,18.0,3.7,46.8717576,24.7908981,pharmacies
صيدلية ليمون,41.0,2.9,46.889747,24.7963272,pharmacies
صيدلية ياسمين الصحة,22.0,3.9,46.8384193,24.8649586,pharmacies
